"plate","state","license_type","summons_number","issue_date","violation_time","violation","judgment_entry_date","fine_amount","penalty_amount","interest_amount","reduction_amount","payment_amount","amount_due","precinct","county","issuing_agency","violation_status","summons_image"
"HYS9858","NY","PAS","8850379389","06/09/2021","06:36A","FIRE HYDRANT",,"115","0","0","0","115","0","107","Q","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk1VMUVUVE5QVkUwMFQxRTlQUT09&locationName=_____________________)"
"HSC3072","NY","PAS","8850379390","06/09/2021","06:41A","REG. STICKER-EXPIRED/MISSING",,"65","0","0","0","65","0","107","Q","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk1VMUVUVE5QVkUwMVRVRTlQUT09&locationName=_____________________)"
"HXW4623","NY","OMS","8850379419","06/09/2021","07:11A","NO STANDING-DAY/TIME LIMITS",,"115","0","0","0","115","0","107","Q","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk1VMUVUVE5QVkZGNFQxRTlQUT09&locationName=_____________________)"
"PI816Y","FL","PAS","8542148022","10/09/2018",,,,,,,,,,,,,,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk1FMXFSVEJQUkVGNVRXYzlQUT09&locationName=_____________________)"
"KNM7446","NY","PAS","4842468683","05/22/2023","08:23A","PHTO SCHOOL ZN SPEED VIOLATION",,"50","25","0","25","50","0","000","BX","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1FMXFVVEpQUkZrMFRYYzlQUT09&locationName=_____________________)"
"EFX2131","NY","PAS","8850379353","06/09/2021","06:24A","FIRE HYDRANT",,"115","0","0","0","115","0","107","Q","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk1VMUVUVE5QVkUweFRYYzlQUT09&locationName=_____________________)"
"KFM1854","NY","PAS","8584669589","05/09/2022","12:14P","NO PARKING-STREET CLEANING","08/25/2022","65","60","2.38","0","127.38","0","100","Q","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk5FNUVXVEpQVkZVMFQxRTlQUT09&locationName=_____________________)"
"JPD5971","NY","PAS","8840979256","02/24/2021","11:50A","NO PARKING-STREET CLEANING",,"65","0","0","0","65","0","078","K","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk1FMUVhek5QVkVreFRtYzlQUT09&locationName=_____________________)"
"HPJ3961","NY","PAS","4811224863","11/07/2022","09:12P","PHTO SCHOOL ZN SPEED VIOLATION",,"50","25","0","0","75","0","000","QN","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbmVFMVVTWGxPUkdjeVRYYzlQUT09&locationName=_____________________)"
"KEL3268","NY","PAS","8840979116","02/24/2021","11:06A","FRONT OR BACK PLATE MISSING",,"65","0","0","0","65","0","078","K","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk1FMUVhek5QVkVWNFRtYzlQUT09&locationName=_____________________)"
"KYZ2103","NY","PAS","4842468634","05/22/2023","08:23A","PHTO SCHOOL ZN SPEED VIOLATION",,"50","0","0","0","50","0","000","BK","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1FMXFVVEpQUkZsNlRrRTlQUT09&locationName=_____________________)"
"JRY8551","NY","PAS","4842468646","05/22/2023","08:23A","PHTO SCHOOL ZN SPEED VIOLATION","08/17/2023","50","25","0.25","0","75.25","0","000","QN","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1FMXFVVEpQUkZrd1RtYzlQUT09&locationName=_____________________)"
"KEJ7973","NY","PAS","8840979025","02/24/2021","10:24A","REG. STICKER-EXPIRED/MISSING",,"65","0","0","0","65","0","078","K","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk1FMUVhek5QVkVGNVRsRTlQUT09&locationName=_____________________)"
"ENF8800","NY","PAS","4811224954","11/07/2022","09:17P","PHTO SCHOOL ZN SPEED VIOLATION","02/02/2023","50","25","0.71","0.02","75.69","0","000","BK","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbmVFMVVTWGxPUkdzeFRrRTlQUT09&locationName=_____________________)"
"KYF9794","NY","PAS","9072418918","08/22/2023","01:01P","NO PARKING-STREET CLEANING","12/07/2023","65","60","0.15","0","125.15","0","081","K","TRAFFIC","HEARING HELD-GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQk0wMXFVWGhQUkd0NFQwRTlQUT09&locationName=_____________________)"
"70AMCAMX","NY","HIS","9002454764","08/04/2022","02:33P","FRONT OR BACK PLATE MISSING",,"65","10","0","0","75","0","068","K","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQmQwMXFVVEZPUkdNeVRrRTlQUT09&locationName=_____________________)"
"KJF6942","NY","PAS","9089644854","11/16/2023","05:03P","INSP. STICKER-EXPIRED/MISSING",,"65","10","0","0","75","0","023","NY","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQk5FOVVXVEJPUkdjeFRrRTlQUT09&locationName=_____________________)"
"2EE1928","MD","PAS","8850379341","06/09/2021","06:22A","FIRE HYDRANT",,"115","0","0","0","115","0","107","Q","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk1VMUVUVE5QVkUwd1RWRTlQUT09&locationName=_____________________)"
"T636710C","NY","OMT","8969076864","02/23/2022","12:53P","FAIL TO DSPLY MUNI METER RECPT",,"35","0","0","35","0","0","050","BX","TRAFFIC","HEARING HELD-NOT GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck1rOVVRVE5PYW1jeVRrRTlQUT09&locationName=_____________________)"
"KLF1550","NY","PAS","8969855567","02/24/2022","06:26A","FIRE HYDRANT",,"115","0","0","0","115","0","041","BX","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck1rOVVaekZPVkZVeVRuYzlQUT09&locationName=_____________________)"
"16543MP","NY","COM","9072418931","08/22/2023","01:02P","NO PARKING-STREET CLEANING",,"65","0","0","0","65","0","081","K","TRAFFIC","HEARING HELD-GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQk0wMXFVWGhQUkd0NlRWRTlQUT09&locationName=_____________________)"
"JPD4257","NY","PAS","4842468804","05/22/2023","08:26A","PHTO SCHOOL ZN SPEED VIOLATION",,"50","0","0","0","50","0","000","QN","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1FMXFVVEpQUkdkM1RrRTlQUT09&locationName=_____________________)"
"KDD1930","NY","PAS","4842468750","05/22/2023","08:25A","PHTO SCHOOL ZN SPEED VIOLATION",,"50","0","0","0","50","0","000","BK","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1FMXFVVEpQUkdNeFRVRTlQUT09&locationName=_____________________)"
"HYC5460","NY","PAS","8567832949","11/04/2022","12:06P","NO STANDING-BUS STOP","02/23/2023","115","60","4.72","0.13","179.59","0","047","BX","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk1rNTZaM3BOYW1zd1QxRTlQUT09&locationName=_____________________)"
"JRC5900","NY","PAS","4842468701","05/22/2023","08:24A","PHTO SCHOOL ZN SPEED VIOLATION",,"50","25","0","0","75","0","000","QN","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1FMXFVVEpQUkdOM1RWRTlQUT09&locationName=_____________________)"
"KFZ7836","NY","PAS","4842468798","05/22/2023","08:26A","PHTO SCHOOL ZN SPEED VIOLATION","08/17/2023","50","25","0.1","0","75.1","0","000","BK","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1FMXFVVEpQUkdNMVQwRTlQUT09&locationName=_____________________)"
"87706MK","NY","COM","9081486226","09/28/2023","01:58P","NO PARKING-DAY/TIME LIMITS",,"65","0","0","40","25","0","009","NY","TRAFFIC","HEARING HELD-GUILTY REDUCTION","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQk5FMVVVVFJPYWtsNVRtYzlQUT09&locationName=_____________________)"
"HYB4681","NY","PAS","9072418920","08/22/2023","01:02P","NO PARKING-STREET CLEANING",,"65","30","0","0","95","0","081","K","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQk0wMXFVWGhQUkd0NVRVRTlQUT09&locationName=_____________________)"
"JPR1741","NY","PAS","8584685017","08/19/2022","09:39A","NO PARKING-STREET CLEANING",,"65","30","0","0","95","0","104","Q","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk5FNUVXVFJPVkVGNFRuYzlQUT09&locationName=_____________________)"
"AEZ1339","NY","999","9002454879","08/04/2022","04:55P","REG STICKER-MUTILATED/C'FEIT",,"65","10","0","75","0","0","066","K","TRAFFIC","HEARING HELD-NOT GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQmQwMXFVVEZPUkdjelQxRTlQUT09&locationName=_____________________)"
"KHR1951","NY","PAS","8935889039","11/09/2022","03:20P","NO STANDING-DAY/TIME LIMITS","02/23/2023","115","60","0.56","0.56","175","0","010","NY","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmVrNVVaelJQVkVGNlQxRTlQUT09&locationName=_____________________)"
"GZJ2823","NY","PAS","8971253897","02/24/2022","06:14A","NO STANDING-DAY/TIME LIMITS",,"115","0","0","0","115","0","044","BX","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck0wMVVTVEZOZW1jMVRuYzlQUT09&locationName=_____________________)"
"KEJ1817","NY","PAS","8841039840","03/04/2021","11:59A","INSP. STICKER-EXPIRED/MISSING",,"65","0","0","0","65","0","110","Q","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk1FMVVRWHBQVkdjd1RVRTlQUT09&locationName=_____________________)"
"JJT1988","NY","PAS","8841039796","03/04/2021","11:36A","NO PARKING-STREET CLEANING",,"65","0","0","0","65","0","110","Q","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk1FMVVRWHBQVkdNMVRtYzlQUT09&locationName=_____________________)"
"8EE3443","MD","PAS","8841039863","03/04/2021","12:07P","NO PARKING-STREET CLEANING",,"65","0","0","0","65","0","110","Q","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk1FMVVRWHBQVkdjeVRYYzlQUT09&locationName=_____________________)"
"HRA8704","NY","PAS","8634227844","03/29/2018","01:03P","REG. STICKER-EXPIRED/MISSING",,"65","10","0","0","75","0","114","Q","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmVrNUVTWGxPZW1jd1RrRTlQUT09&locationName=_____________________)"
"KXS8815","NY","PAS","4842468737","05/22/2023","08:25A","PHTO SCHOOL ZN SPEED VIOLATION",,"50","25","0","0","75","0","000","QN","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1FMXFVVEpQUkdONlRuYzlQUT09&locationName=_____________________)"
"KLE1927","NY","PAS","8971302665","02/24/2022","07:33A","FIRE HYDRANT",,"115","0","0","115","0","0","044","BX","TRAFFIC","HEARING HELD-NOT GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck0wMVVUWGROYWxreVRsRTlQUT09&locationName=_____________________)"
"FCS2092","NY","PAS","8971874867","02/23/2022","04:09P","EXPIRED MUNI METER",,"65","0","0","0","65","0","019","NY","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck0wMVVaek5PUkdjeVRuYzlQUT09&locationName=_____________________)"
"KDH3570","NY","PAS","8971991501","02/23/2022","10:49A","NO PARKING-STREET CLEANING",,"65","0","0","0","65","0","107","Q","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck0wMVVhelZOVkZWM1RWRTlQUT09&locationName=_____________________)"
"LFN4976","NY","PAS","9113643794","03/13/2024","08:36A","NO PARKING-STREET CLEANING",,"65","10","0","10","65","0","109","Q","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSRmVFMTZXVEJOZW1NMVRrRTlQUT09&locationName=_____________________)"
"KKR1776","NY","PAS","8584689035","09/20/2022","12:00P","NO PARKING-STREET CLEANING",,"65","10","0","0","75","0","100","Q","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk5FNUVXVFJQVkVGNlRsRTlQUT09&locationName=_____________________)"
"21799MC","NY","COM","8913811303","05/13/2021","01:33P","NO STANDING-DAY/TIME LIMITS",,"115","0","0","15","100","0","010","NY","TRAFFIC","HEARING HELD-GUILTY REDUCTION","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmVFMTZaM2hOVkUxM1RYYzlQUT09&locationName=_____________________)"
"14641MM","NY","COM","8913811200","05/13/2021","06:49A","DOUBLE PARKING",,"115","0","0","0","115","0","010","NY","TRAFFIC","HEARING HELD-GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmVFMTZaM2hOVkVsM1RVRTlQUT09&locationName=_____________________)"
"71871MM","NY","COM","8913811248","05/13/2021","07:27A","DOUBLE PARKING-MIDTOWN COMML",,"115","0","0","0","115","0","010","NY","TRAFFIC","HEARING HELD-GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmVFMTZaM2hOVkVrd1QwRTlQUT09&locationName=_____________________)"
"KGG1802","NY","PAS","8994571796","08/11/2021","03:31P","SIDEWALK",,"115","0","0","0","115","0","075","K","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5VNUVWVE5OVkdNMVRtYzlQUT09&locationName=_____________________)"
"KHA5162","NY","PAS","8991937421","10/22/2021","02:20P","DOUBLE PARKING",,"115","0","0","0","115","0","079","K","TRAFFIC","HEARING HELD-GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5VMVVhM3BPZWxGNVRWRTlQUT09&locationName=_____________________)"
"JNV8960","NY","PAS","8864075124","12/04/2021","01:02P","INSP. STICKER-EXPIRED/MISSING",,"65","30","0","0","95","0","071","K","TRAFFIC","HEARING HELD-GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk1rNUVRVE5PVkVWNVRrRTlQUT09&locationName=_____________________)"
"EWH7077","NY","PAS","5102968464","08/18/2018","11:39A","FAILURE TO STOP AT RED LIGHT","11/15/2018","50","25","19.37","0.09","94.28","0","000","MN","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmQwMXFhekpQUkZFeVRrRTlQUT09&locationName=_____________________)"
"47350ML","NY","COM","8683174979","02/13/2020","02:37P","FAIL TO DSPLY MUNI METER RECPT",,"35","10","0","0","45","0","084","K","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWk5FMTZSVE5PUkdzelQxRTlQUT09&locationName=_____________________)"
"2870679","IN","PAS","8913811194","05/13/2021","06:45A","DOUBLE PARKING",,"115","0","0","0","115","0","010","NY","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmVFMTZaM2hOVkVVMVRrRTlQUT09&locationName=_____________________)"
"HLN4714","NY","PAS","8841040350","03/06/2021","02:19P","FRONT OR BACK PLATE MISSING",,"65","0","0","65","0","0","108","Q","TRAFFIC","HEARING HELD-NOT GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk1FMVVRVEJOUkUweFRVRTlQUT09&locationName=_____________________)"
"CJX6918","NY","PAS","8841040439","03/06/2021","04:00P","INSP. STICKER-EXPIRED/MISSING",,"65","0","0","0","65","0","108","Q","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk1FMVVRVEJOUkZGNlQxRTlQUT09&locationName=_____________________)"
"BRZ7393","NY","PAS","8841040257","03/06/2021","12:11P","EXPIRED MUNI METER",,"35","0","0","0","35","0","108","Q","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk1FMVVRVEJOUkVreFRuYzlQUT09&locationName=_____________________)"
"CYV14","NJ","PAS","8913811250","05/13/2021","01:19P","NO STANDING-DAY/TIME LIMITS",,"115","0","0","115","0","0","010","NY","TRAFFIC","HEARING HELD-NOT GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBScmVFMTZaM2hOVkVreFRVRTlQUT09&locationName=_____________________)"
"HTP4692","NY","PAS","4811224978","11/07/2022","09:18P","PHTO SCHOOL ZN SPEED VIOLATION",,"50","0","0","0","50","0","000","QN","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbmVFMVVTWGxPUkdzelQwRTlQUT09&locationName=_____________________)"
"22780JA","NY","COM","4842468841","05/22/2023","08:27A","PHTO SCHOOL ZN SPEED VIOLATION",,"50","0","0","0","50","0","000","QN","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1FMXFVVEpQUkdjd1RWRTlQUT09&locationName=_____________________)"
"T105911C","NY","OMT","4842468830","05/22/2023","08:27A","PHTO SCHOOL ZN SPEED VIOLATION","08/17/2023","50","25","3.59","0.29","78.3","0","000","MN","DEPARTMENT OF TRANSPORTATION","HEARING HELD-GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbk1FMXFVVEpQUkdkNlRVRTlQUT09&locationName=_____________________)"
"LTN2138","PA","PAS","9002455422","07/21/2022","09:22A","NO PARKING-STREET CLEANING",,"65","10","0","0","75","0","075","K","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDFSQmQwMXFVVEZPVkZGNVRXYzlQUT09&locationName=_____________________)"
"DGZ2690","NY","PAS","8994572107","08/12/2021","03:30P","SIDEWALK",,"115","0","0","0","115","0","090","K","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5VNUVWVE5OYWtWM1RuYzlQUT09&locationName=_____________________)"
"92177NB","NY","COM","8994572120","08/12/2021","03:44P","COMML PLATES-UNALTERED VEHICLE",,"115","0","0","0","115","0","090","K","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5VNUVWVE5OYWtWNVRVRTlQUT09&locationName=_____________________)"
"KWG8742","NY","PAS","4811225041","11/07/2022","09:21P","PHTO SCHOOL ZN SPEED VIOLATION","02/02/2023","50","25","0.62","0.06","75.56","0","000","BK","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbmVFMVVTWGxPVkVFd1RWRTlQUT09&locationName=_____________________)"
"GXL4348","NY","PAS","8584689102","09/21/2022","08:42A","NO PARKING-STREET CLEANING",,"65","0","0","65","0","0","107","Q","TRAFFIC","HEARING HELD-NOT GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk5FNUVXVFJQVkVWM1RXYzlQUT09&locationName=_____________________)"
"JBB4948","NY","PAS","8994086262","10/12/2021","02:48P","FAIL TO DSPLY MUNI METER RECPT",,"35","0","0","0","35","0","084","K","TRAFFIC","HEARING HELD-GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5VNUVRVFJPYWtreVRXYzlQUT09&locationName=_____________________)"
"MLHE06","FL","PAS","8683181753","05/26/2020","02:01P","WRONG WAY",,"45","0","0","0","45","0","079","K","TRAFFIC","HEARING HELD-GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWk5FMTZSVFJOVkdNeFRYYzlQUT09&locationName=_____________________)"
"91BG16","NY","LMB","4811225028","11/07/2022","09:20P","PHTO SCHOOL ZN SPEED VIOLATION","02/02/2023","50","25","0.5","0.26","75.24","0","000","QN","DEPARTMENT OF TRANSPORTATION",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSbmVFMVVTWGxPVkVGNVQwRTlQUT09&locationName=_____________________)"
"2Z0773","SD","PAS","8975157982","05/07/2021","01:21A","NO PARKING-STREET CLEANING",,"65","0","0","0","65","0","075","K","TRAFFIC","HEARING HELD-GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck0wNVVSVEZPZW1zMFRXYzlQUT09&locationName=_____________________)"
"84988CJ","MD","PAS","8995160962","06/03/2021","12:47P","NO STANDING-BUS STOP",,"115","0","0","0","115","0","094","K","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5VNVVSVEpOUkdzeVRXYzlQUT09&locationName=_____________________)"
"84988CJ","MD","PAS","8995161218","06/04/2021","01:55P","NO STANDING-BUS STOP",,"115","0","0","0","115","0","094","K","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5VNVVSVEpOVkVsNFQwRTlQUT09&locationName=_____________________)"
"GVV8724","NY","PAS","8841040762","03/09/2021","10:41A","FAIL TO DSPLY MUNI METER RECPT",,"35","0","0","0","35","0","114","Q","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk1FMVVRVEJOUkdNeVRXYzlQUT09&locationName=_____________________)"
"KEX4005","NY","PAS","8841040580","03/08/2021","11:37A","NO STANDING-EXC. AUTH. VEHICLE",,"95","0","0","0","95","0","114","Q","TRAFFIC",,"View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk1FMVVRVEJOUkZVMFRVRTlQUT09&locationName=_____________________)"
"HYJ3913","NY","PAS","8995161000","06/03/2021","02:45P","NO STANDING-DAY/TIME LIMITS",,"115","0","0","0","115","0","094","K","TRAFFIC","APPEAL AFFIRMED","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5VNVVSVEpOVkVGM1RVRTlQUT09&locationName=_____________________)"
"PC168093","DE","PAS","8995161528","06/08/2021","11:44A","NO PARKING-STREET CLEANING",,"65","0","0","0","65","0","094","K","TRAFFIC","HEARING HELD-GUILTY","View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck5VNVVSVEpOVkZWNVQwRTlQUT09&locationName=_____________________)"
