plate=EFR9335 | state=NY | license_type=PAS | summons_number=8967338119 | issue_date=02/23/2022 | violation_time=01:26P | violation_county= | fine_amount=65 | penalty_amount=0 | amount_due=0
plate=EFX2131 | state=NY | license_type=PAS | summons_number=8850379353 | issue_date=06/09/2021 | violation_time=06:24A | violation_county= | fine_amount=115 | penalty_amount=0 | amount_due=0
plate=KFM1854 | state=NY | license_type=PAS | summons_number=8584669589 | issue_date=05/09/2022 | violation_time=12:14P | violation_county= | fine_amount=65 | penalty_amount=60 | amount_due=0
plate=JPD5971 | state=NY | license_type=PAS | summons_number=8840979256 | issue_date=02/24/2021 | violation_time=11:50A | violation_county= | fine_amount=65 | penalty_amount=0 | amount_due=0
plate=HPJ3961 | state=NY | license_type=PAS | summons_number=4811224863 | issue_date=11/07/2022 | violation_time=09:12P | violation_county= | fine_amount=50 | penalty_amount=25 | amount_due=0
plate=KEL3268 | state=NY | license_type=PAS | summons_number=8840979116 | issue_date=02/24/2021 | violation_time=11:06A | violation_county= | fine_amount=65 | penalty_amount=0 | amount_due=0
plate=KYZ2103 | state=NY | license_type=PAS | summons_number=4842468634 | issue_date=05/22/2023 | violation_time=08:23A | violation_county= | fine_amount=50 | penalty_amount=0 | amount_due=0
plate=JRY8551 | state=NY | license_type=PAS | summons_number=4842468646 | issue_date=05/22/2023 | violation_time=08:23A | violation_county= | fine_amount=50 | penalty_amount=25 | amount_due=0
plate=KEJ7973 | state=NY | license_type=PAS | summons_number=8840979025 | issue_date=02/24/2021 | violation_time=10:24A | violation_county= | fine_amount=65 | penalty_amount=0 | amount_due=0
plate=ENF8800 | state=NY | license_type=PAS | summons_number=4811224954 | issue_date=11/07/2022 | violation_time=09:17P | violation_county= | fine_amount=50 | penalty_amount=25 | amount_due=0
plate=KYF9794 | state=NY | license_type=PAS | summons_number=9072418918 | issue_date=08/22/2023 | violation_time=01:01P | violation_county= | fine_amount=65 | penalty_amount=60 | amount_due=0
plate=70AMCAMX | state=NY | license_type=HIS | summons_number=9002454764 | issue_date=08/04/2022 | violation_time=02:33P | violation_county= | fine_amount=65 | penalty_amount=10 | amount_due=0
plate=KJF6942 | state=NY | license_type=PAS | summons_number=9089644854 | issue_date=11/16/2023 | violation_time=05:03P | violation_county= | fine_amount=65 | penalty_amount=10 | amount_due=0
plate=2EE1928 | state=MD | license_type=PAS | summons_number=8850379341 | issue_date=06/09/2021 | violation_time=06:22A | violation_county= | fine_amount=115 | penalty_amount=0 | amount_due=0
plate=T636710C | state=NY | license_type=OMT | summons_number=8969076864 | issue_date=02/23/2022 | violation_time=12:53P | violation_county= | fine_amount=35 | penalty_amount=0 | amount_due=0
plate=KLF1550 | state=NY | license_type=PAS | summons_number=8969855567 | issue_date=02/24/2022 | violation_time=06:26A | violation_county= | fine_amount=115 | penalty_amount=0 | amount_due=0
plate=16543MP | state=NY | license_type=COM | summons_number=9072418931 | issue_date=08/22/2023 | violation_time=01:02P | violation_county= | fine_amount=65 | penalty_amount=0 | amount_due=0
plate=JPD4257 | state=NY | license_type=PAS | summons_number=4842468804 | issue_date=05/22/2023 | violation_time=08:26A | violation_county= | fine_amount=50 | penalty_amount=0 | amount_due=0
plate=KDD1930 | state=NY | license_type=PAS | summons_number=4842468750 | issue_date=05/22/2023 | violation_time=08:25A | violation_county= | fine_amount=50 | penalty_amount=0 | amount_due=0
plate=HYC5460 | state=NY | license_type=PAS | summons_number=8567832949 | issue_date=11/04/2022 | violation_time=12:06P | violation_county= | fine_amount=115 | penalty_amount=60 | amount_due=0
plate=JRC5900 | state=NY | license_type=PAS | summons_number=4842468701 | issue_date=05/22/2023 | violation_time=08:24A | violation_county= | fine_amount=50 | penalty_amount=25 | amount_due=0
plate=KFZ7836 | state=NY | license_type=PAS | summons_number=4842468798 | issue_date=05/22/2023 | violation_time=08:26A | violation_county= | fine_amount=50 | penalty_amount=25 | amount_due=0
plate=87706MK | state=NY | license_type=COM | summons_number=9081486226 | issue_date=09/28/2023 | violation_time=01:58P | violation_county= | fine_amount=65 | penalty_amount=0 | amount_due=0
plate=HYB4681 | state=NY | license_type=PAS | summons_number=9072418920 | issue_date=08/22/2023 | violation_time=01:02P | violation_county= | fine_amount=65 | penalty_amount=30 | amount_due=0
plate=JPR1741 | state=NY | license_type=PAS | summons_number=8584685017 | issue_date=08/19/2022 | violation_time=09:39A | violation_county= | fine_amount=65 | penalty_amount=30 | amount_due=0
plate=AEZ1339 | state=NY | license_type=999 | summons_number=9002454879 | issue_date=08/04/2022 | violation_time=04:55P | violation_county= | fine_amount=65 | penalty_amount=10 | amount_due=0
plate=KHR1951 | state=NY | license_type=PAS | summons_number=8935889039 | issue_date=11/09/2022 | violation_time=03:20P | violation_county= | fine_amount=115 | penalty_amount=60 | amount_due=0
plate=GZJ2823 | state=NY | license_type=PAS | summons_number=8971253897 | issue_date=02/24/2022 | violation_time=06:14A | violation_county= | fine_amount=115 | penalty_amount=0 | amount_due=0
plate=KEJ1817 | state=NY | license_type=PAS | summons_number=8841039840 | issue_date=03/04/2021 | violation_time=11:59A | violation_county= | fine_amount=65 | penalty_amount=0 | amount_due=0
plate=JJT1988 | state=NY | license_type=PAS | summons_number=8841039796 | issue_date=03/04/2021 | violation_time=11:36A | violation_county= | fine_amount=65 | penalty_amount=0 | amount_due=0
plate=8EE3443 | state=MD | license_type=PAS | summons_number=8841039863 | issue_date=03/04/2021 | violation_time=12:07P | violation_county= | fine_amount=65 | penalty_amount=0 | amount_due=0
plate=HRA8704 | state=NY | license_type=PAS | summons_number=8634227844 | issue_date=03/29/2018 | violation_time=01:03P | violation_county= | fine_amount=65 | penalty_amount=10 | amount_due=0
plate=KXS8815 | state=NY | license_type=PAS | summons_number=4842468737 | issue_date=05/22/2023 | violation_time=08:25A | violation_county= | fine_amount=50 | penalty_amount=25 | amount_due=0
plate=KLE1927 | state=NY | license_type=PAS | summons_number=8971302665 | issue_date=02/24/2022 | violation_time=07:33A | violation_county= | fine_amount=115 | penalty_amount=0 | amount_due=0
plate=FCS2092 | state=NY | license_type=PAS | summons_number=8971874867 | issue_date=02/23/2022 | violation_time=04:09P | violation_county= | fine_amount=65 | penalty_amount=0 | amount_due=0
plate=KDH3570 | state=NY | license_type=PAS | summons_number=8971991501 | issue_date=02/23/2022 | violation_time=10:49A | violation_county= | fine_amount=65 | penalty_amount=0 | amount_due=0
plate=LFN4976 | state=NY | license_type=PAS | summons_number=9113643794 | issue_date=03/13/2024 | violation_time=08:36A | violation_county= | fine_amount=65 | penalty_amount=10 | amount_due=0
plate=KKR1776 | state=NY | license_type=PAS | summons_number=8584689035 | issue_date=09/20/2022 | violation_time=12:00P | violation_county= | fine_amount=65 | penalty_amount=10 | amount_due=0
plate=21799MC | state=NY | license_type=COM | summons_number=8913811303 | issue_date=05/13/2021 | violation_time=01:33P | violation_county= | fine_amount=115 | penalty_amount=0 | amount_due=0
plate=14641MM | state=NY | license_type=COM | summons_number=8913811200 | issue_date=05/13/2021 | violation_time=06:49A | violation_county= | fine_amount=115 | penalty_amount=0 | amount_due=0
plate=71871MM | state=NY | license_type=COM | summons_number=8913811248 | issue_date=05/13/2021 | violation_time=07:27A | violation_county= | fine_amount=115 | penalty_amount=0 | amount_due=0
plate=KGG1802 | state=NY | license_type=PAS | summons_number=8994571796 | issue_date=08/11/2021 | violation_time=03:31P | violation_county= | fine_amount=115 | penalty_amount=0 | amount_due=0
plate=KHA5162 | state=NY | license_type=PAS | summons_number=8991937421 | issue_date=10/22/2021 | violation_time=02:20P | violation_county= | fine_amount=115 | penalty_amount=0 | amount_due=0
plate=JNV8960 | state=NY | license_type=PAS | summons_number=8864075124 | issue_date=12/04/2021 | violation_time=01:02P | violation_county= | fine_amount=65 | penalty_amount=30 | amount_due=0
plate=EWH7077 | state=NY | license_type=PAS | summons_number=5102968464 | issue_date=08/18/2018 | violation_time=11:39A | violation_county= | fine_amount=50 | penalty_amount=25 | amount_due=0
plate=47350ML | state=NY | license_type=COM | summons_number=8683174979 | issue_date=02/13/2020 | violation_time=02:37P | violation_county= | fine_amount=35 | penalty_amount=10 | amount_due=0
plate=2870679 | state=IN | license_type=PAS | summons_number=8913811194 | issue_date=05/13/2021 | violation_time=06:45A | violation_county= | fine_amount=115 | penalty_amount=0 | amount_due=0
plate=HLN4714 | state=NY | license_type=PAS | summons_number=8841040350 | issue_date=03/06/2021 | violation_time=02:19P | violation_county= | fine_amount=65 | penalty_amount=0 | amount_due=0
plate=CJX6918 | state=NY | license_type=PAS | summons_number=8841040439 | issue_date=03/06/2021 | violation_time=04:00P | violation_county= | fine_amount=65 | penalty_amount=0 | amount_due=0
plate=BRZ7393 | state=NY | license_type=PAS | summons_number=8841040257 | issue_date=03/06/2021 | violation_time=12:11P | violation_county= | fine_amount=35 | penalty_amount=0 | amount_due=0
plate=CYV14 | state=NJ | license_type=PAS | summons_number=8913811250 | issue_date=05/13/2021 | violation_time=01:19P | violation_county= | fine_amount=115 | penalty_amount=0 | amount_due=0
plate=HTP4692 | state=NY | license_type=PAS | summons_number=4811224978 | issue_date=11/07/2022 | violation_time=09:18P | violation_county= | fine_amount=50 | penalty_amount=0 | amount_due=0
plate=22780JA | state=NY | license_type=COM | summons_number=4842468841 | issue_date=05/22/2023 | violation_time=08:27A | violation_county= | fine_amount=50 | penalty_amount=0 | amount_due=0
plate=T105911C | state=NY | license_type=OMT | summons_number=4842468830 | issue_date=05/22/2023 | violation_time=08:27A | violation_county= | fine_amount=50 | penalty_amount=25 | amount_due=0
plate=LTN2138 | state=PA | license_type=PAS | summons_number=9002455422 | issue_date=07/21/2022 | violation_time=09:22A | violation_county= | fine_amount=65 | penalty_amount=10 | amount_due=0
plate=DGZ2690 | state=NY | license_type=PAS | summons_number=8994572107 | issue_date=08/12/2021 | violation_time=03:30P | violation_county= | fine_amount=115 | penalty_amount=0 | amount_due=0
plate=92177NB | state=NY | license_type=COM | summons_number=8994572120 | issue_date=08/12/2021 | violation_time=03:44P | violation_county= | fine_amount=115 | penalty_amount=0 | amount_due=0
plate=KWG8742 | state=NY | license_type=PAS | summons_number=4811225041 | issue_date=11/07/2022 | violation_time=09:21P | violation_county= | fine_amount=50 | penalty_amount=25 | amount_due=0
plate=GXL4348 | state=NY | license_type=PAS | summons_number=8584689102 | issue_date=09/21/2022 | violation_time=08:42A | violation_county= | fine_amount=65 | penalty_amount=0 | amount_due=0
plate=JBB4948 | state=NY | license_type=PAS | summons_number=8994086262 | issue_date=10/12/2021 | violation_time=02:48P | violation_county= | fine_amount=35 | penalty_amount=0 | amount_due=0
plate=MLHE06 | state=FL | license_type=PAS | summons_number=8683181753 | issue_date=05/26/2020 | violation_time=02:01P | violation_county= | fine_amount=45 | penalty_amount=0 | amount_due=0
plate=91BG16 | state=NY | license_type=LMB | summons_number=4811225028 | issue_date=11/07/2022 | violation_time=09:20P | violation_county= | fine_amount=50 | penalty_amount=25 | amount_due=0
plate=2Z0773 | state=SD | license_type=PAS | summons_number=8975157982 | issue_date=05/07/2021 | violation_time=01:21A | violation_county= | fine_amount=65 | penalty_amount=0 | amount_due=0
plate=84988CJ | state=MD | license_type=PAS | summons_number=8995160962 | issue_date=06/03/2021 | violation_time=12:47P | violation_county= | fine_amount=115 | penalty_amount=0 | amount_due=0
plate=84988CJ | state=MD | license_type=PAS | summons_number=8995161218 | issue_date=06/04/2021 | violation_time=01:55P | violation_county= | fine_amount=115 | penalty_amount=0 | amount_due=0
plate=GVV8724 | state=NY | license_type=PAS | summons_number=8841040762 | issue_date=03/09/2021 | violation_time=10:41A | violation_county= | fine_amount=35 | penalty_amount=0 | amount_due=0
plate=KEX4005 | state=NY | license_type=PAS | summons_number=8841040580 | issue_date=03/08/2021 | violation_time=11:37A | violation_county= | fine_amount=95 | penalty_amount=0 | amount_due=0
plate=HYJ3913 | state=NY | license_type=PAS | summons_number=8995161000 | issue_date=06/03/2021 | violation_time=02:45P | violation_county= | fine_amount=115 | penalty_amount=0 | amount_due=0
plate=PC168093 | state=DE | license_type=PAS | summons_number=8995161528 | issue_date=06/08/2021 | violation_time=11:44A | violation_county= | fine_amount=65 | penalty_amount=0 | amount_due=0
plate=48511MK | state=NY | license_type=COM | summons_number=8841040520 | issue_date=03/08/2021 | violation_time=10:58A | violation_county= | fine_amount=35 | penalty_amount=0 | amount_due=0
plate=FWT8607 | state=NY | license_type=PAS | summons_number=8995161383 | issue_date=06/07/2021 | violation_time=02:38P | violation_county= | fine_amount=65 | penalty_amount=0 | amount_due=0
plate=KMM5697 | state=NY | license_type=PAS | summons_number=8972445162 | issue_date=02/24/2022 | violation_time=08:41A | violation_county= | fine_amount=65 | penalty_amount=0 | amount_due=0
plate=IGFF45 | state=FL | license_type=PAS | summons_number=9064421365 | issue_date=07/03/2023 | violation_time=05:01P | violation_county= | fine_amount=35 | penalty_amount=60 | amount_due=0
plate=777CBR | state=LA | license_type=PAS | summons_number=4842468853 | issue_date=05/22/2023 | violation_time=08:27A | violation_county= | fine_amount=50 | penalty_amount=0 | amount_due=0
plate=CX39391 | state=IL | license_type=PAS | summons_number=8972838688 | issue_date=02/24/2022 | violation_time=08:48A | violation_county= | fine_amount=65 | penalty_amount=0 | amount_due=0
plate=Y285VU | state=NY | license_type=PAS | summons_number=8972838743 | issue_date=02/24/2022 | violation_time=09:05A | violation_county= | fine_amount=115 | penalty_amount=0 | amount_due=0
plate=HNP4932 | state=NY | license_type=PAS | summons_number=9113643952 | issue_date=03/13/2024 | violation_time=11:55A | violation_county= | fine_amount=115 | penalty_amount=10 | amount_due=0
plate=FSM5148 | state=NY | license_type=999 | summons_number=8634443050 | issue_date=04/21/2018 | violation_time= | violation_county= | fine_amount= | penalty_amount= | amount_due=
plate=HUT7736 | state=NY | license_type=PAS | summons_number=5102996447 | issue_date=07/19/2018 | violation_time=05:20P | violation_county= | fine_amount=50 | penalty_amount=25 | amount_due=0
plate=KHD8581 | state=NY | license_type=PAS | summons_number=4811225053 | issue_date=11/07/2022 | violation_time=09:22P | violation_county= | fine_amount=50 | penalty_amount=0 | amount_due=0
plate=GRP5802 | state=NY | license_type=PAS | summons_number=8841040907 | issue_date=03/09/2021 | violation_time=12:12P | violation_county= | fine_amount=65 | penalty_amount=0 | amount_due=0
plate=93BD90 | state=NY | license_type=LMB | summons_number=8823978750 | issue_date=04/18/2022 | violation_time=06:55A | violation_county= | fine_amount=65 | penalty_amount=10 | amount_due=0
plate=24236NA | state=NY | license_type=COM | summons_number=8823978956 | issue_date=04/18/2022 | violation_time=09:31A | violation_county= | fine_amount=115 | penalty_amount=0 | amount_due=0
plate=KUY5364 | state=NY | license_type=PAS | summons_number=9064421419 | issue_date=07/03/2023 | violation_time=05:39P | violation_county= | fine_amount=35 | penalty_amount=0 | amount_due=0
plate=GEU7947 | state=NY | license_type=PAS | summons_number=8584693180 | issue_date=10/19/2022 | violation_time=09:47A | violation_county= | fine_amount=115 | penalty_amount=0 | amount_due=0
plate=39293MJ | state=NY | license_type=COM | summons_number=8584749159 | issue_date=08/03/2022 | violation_time=11:28A | violation_county= | fine_amount=115 | penalty_amount=0 | amount_due=0
